session, stakes, hands_played, vpip, pots_won, pnl
1, $0.01/$0.02, 34, 32.35, 5, -0.51
2, $0.01/$0.02, 44, 43.18, 12, -0.58
3, $0.01/$0.02, 88, 42.05, 25, 0.28
4, $0.01/$0.02, 32, 50.00, 5, -0.53
5, $0.01/$0.02, 113, 35.40, 32, 0.27
6, $0.01/$0.02, 91, 40.66, 21, 0.84
7, $0.01/$0.02, 37, 43.24, 11, -0.25
8, $0.01/$0.02, 7, 57.14, 2, -0.90
